referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
355,referendum_canceller,J6ixMhTj9UmgZtNiWVGs1SdGm9HXSj7z2Emjc9syMgGdN5X,250000000000000,1,250000000000000,Nays,1710855330,
355,referendum_canceller,CrWAFAjaxxjhmvfuDYhWdayASfw2sRefEgiYa1xNE7qQxgS,44000000000000,5,220000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,D5WxiuCkRfGrFpRjH4uvmjdUQYH6bvHXiUVYp4eRnr7E1DA,55000000000000,4,220000000000000,Nays,1709796456,
355,referendum_canceller,E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,55000000000000,4,220000000000000,Nays,1709796438,
355,referendum_canceller,DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,60000000000000,3,180000000000000,Nays,1710254946,
355,referendum_canceller,CzB1XBwkko3Az7DNZDPigZ1bjzLxELAGnLBnFGRdQ4PXTqZ,60000000000000,3,180000000000000,Nays,1709883702,
355,referendum_canceller,J7XHBQxacqTTVkoNoSgcG6CgREb9JVh2DHBbBQ1ycvkLBq4,50000000000000,3,150000000000000,Nays,1710255012,
355,referendum_canceller,Hhgs6hgUeAkAd2c3SbphWxAvm9hSoqRxnoarZgrB2pJYPJT,25000000000000,6,150000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,FLiadJNdXvLi8TJ62XzrQVxmZaT8z5hAr1YXQg437r8o4G6,25000000000000,6,150000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,CibcGcwnThunMNYrStEWHYdr5WDuy8QnMgT3Vr39JeWCcQs,25000000000000,6,150000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,FPVebvd7u2TtyU2magxZVvRqzAHpGZ9aJ9rHXewpHqMGuzr,25000000000000,6,150000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,DQ2JCQDo7BtsxsBbURLK1djr3W3CQgumNys888pPmsF8XpU,50000000000000,3,150000000000000,Nays,1709887290,
355,referendum_canceller,FHrTpbgYUARAmzUiSYqcRjDbCAQ6rqJBbMnKjvNoakNqu2S,140000000000000,1,140000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
